Community Board,Total,Denied,Denial Rate (%),Geography Method,Source Dataset
CB14,887,724,81.6,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
CB4,597,492,82.4,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
CB1,1584,1348,85.1,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
CB3,815,697,85.5,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
CB13,3482,2983,85.7,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
CB2,1296,1118,86.3,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
CB6,1115,978,87.7,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
CB9,1390,1220,87.8,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
CB5,2090,1835,87.8,CB5 polygon filter,Speed Reducer Tracking System [9n6h-pt9g]
CB10,1386,1222,88.2,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
CB12,2912,2588,88.9,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
CB7,2047,1822,89.0,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
CB11,2574,2300,89.4,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
CB8,2211,1979,89.5,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
CB81,75,75,100.0,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
