Category,Count,Percent,Source File
Total Approved (Feasible),239,100.0,srts_citywide.csv
Confirmed Installed,103,43.1,srts_citywide.csv
Cancelled / Rejected,114,47.7,srts_citywide.csv
Closed (No Install),1,0.4,srts_citywide.csv
Still Waiting,21,8.8,srts_citywide.csv
