reference_id,location_name,dataset,request_type,outcome,request_year,Source File,latitude,longitude,crashes_150m,injuries_150m,ped_injuries_150m,fatalities_150m
CQ25-3033B,Cypress Avenue & Vermont Place,Signal Study,Traffic Signal,denied,2025.0,data_cb5_signal_studies.csv,40.691433,-73.89063,52,75,1,0
SR-20221005-28851,59 Street,SRTS,Speed Bump,denied,2022.0,srts_citywide.csv,40.694477,-73.896464,52,66,12,0
CQ22-1132,Vermont Place & Cypress Avenue,Signal Study,Traffic Signal,denied,2022.0,data_cb5_signal_studies.csv,40.691433,-73.89063,52,75,1,0
CQ25-0172,Cypress Avenue & Putnam Avenue,Signal Study,All-Way Stop,denied,2025.0,data_cb5_signal_studies.csv,40.700367,-73.906624,51,55,13,0
CQ22-2381B,Myrtle Avenue & Hancock Street,Signal Study,Left Turn Arrow/Signal,denied,2022.0,data_cb5_signal_studies.csv,40.70041,-73.90368,49,60,15,0
CQ22-2383B,Myrtle Avenue & Seneca Avenue,Signal Study,Left Turn Arrow/Signal,denied,2022.0,data_cb5_signal_studies.csv,40.70041,-73.90368,49,60,15,0
CQ20-0924B,Myrtle Avenue & Seneca Avenue,Signal Study,Traffic Signal,denied,2020.0,data_cb5_signal_studies.csv,40.70041,-73.90368,49,60,15,0
CQ23-1366B,Forest Avenue & Greene Avenue,Signal Study,Leading Pedestrian Interval,denied,2023.0,data_cb5_signal_studies.csv,40.71184,-73.905594,48,55,17,0
SR-20210901-26370,61 Street,SRTS,Speed Bump,denied,2021.0,srts_citywide.csv,40.721031,-73.904096,48,54,14,0
CQ22-1495,Perry Avenue & Hamilton Place,Signal Study,All-Way Stop,denied,2022.0,data_cb5_signal_studies.csv,40.724888,-73.89899,47,61,5,0
CQ21-0387B,Myrtle Avenue & Forest Avenue,Signal Study,Traffic Signal Removal,denied,2021.0,data_cb5_signal_studies.csv,40.700497,-73.90021,46,56,20,0
SR-20230809-30335,Flushing Avenue,SRTS,Speed Bump,denied,2023.0,srts_citywide.csv,40.721629,-73.903117,46,48,11,0
SR-20210726-26106,Fresh Pond Road,SRTS,Speed Bump,denied,2021.0,srts_citywide.csv,40.721629,-73.903117,46,48,11,0
CQ21-0868B,Metropolitan Avenue & Woodhaven Boulevard,Signal Study,Left Turn Arrow/Signal,denied,2021.0,data_cb5_signal_studies.csv,40.711845,-73.859764,46,69,3,0
CQ21-1110B,Maurice Avenue & Borden Avenue,Signal Study,Left Turn Arrow/Signal,denied,2021.0,data_cb5_signal_studies.csv,40.727733,-73.906731,45,68,1,0
CQ24-2174B,Maurice Avenue & Borden Avenue,Signal Study,Traffic Signal,denied,2024.0,data_cb5_signal_studies.csv,40.727733,-73.906731,45,68,1,0
CQ25-2094B,Borden Avenue & Maurice Avenue,Signal Study,Traffic Signal,denied,2025.0,data_cb5_signal_studies.csv,40.727733,-73.906731,45,68,1,0
CQ24-1262B,Metropolitan Avenue & Himrod Street,Signal Study,Left Turn Arrow/Signal,denied,2024.0,data_cb5_signal_studies.csv,40.712948,-73.90693,44,53,14,0
SR-20240111-31240,Cornelia Street,SRTS,Speed Bump,denied,2024.0,srts_citywide.csv,40.701055,-73.904727,44,49,14,0
CQ24-2132B,Grand Avenue & Hamilton Place,Signal Study,Leading Pedestrian Interval,denied,2024.0,data_cb5_signal_studies.csv,40.72428,-73.898445,44,58,6,0
SR-20210426-25674,62 Road,SRTS,Speed Bump,denied,2020.0,srts_citywide.csv,40.713366,-73.899421,43,49,12,0
SR-20230307-29312,63 Street,SRTS,Speed Bump,denied,2023.0,srts_citywide.csv,40.722144,-73.902269,41,45,7,0
SR-20251215-39849,Onderdonk Avenue,SRTS,Speed Bump,denied,2025.0,srts_citywide.csv,40.701457,-73.902948,41,47,12,0
SR-20240715-32025,64 Street,SRTS,Speed Bump,denied,2024.0,srts_citywide.csv,40.723431,-73.901823,41,44,5,0
CQ22-1863B,Maspeth Avenue & Grand Avenue,Signal Study,Traffic Signal,denied,2022.0,data_cb5_signal_studies.csv,40.7228,-73.90182,40,42,4,0
SR-20221031-28965,62 Avenue,SRTS,Speed Bump,denied,2022.0,srts_citywide.csv,40.713614,-73.90683,39,48,14,0
SR-20210901-26365,Linden Street,SRTS,Speed Bump,denied,2021.0,srts_citywide.csv,40.709682,-73.898904,39,45,5,0
SR-20251027-39682,Myrtle Avenue,SRTS,Speed Bump,denied,2025.0,srts_citywide.csv,40.70052,-73.897962,39,50,16,0
CQ20-1068,Myrtle Avenue & Summerfield Street,Signal Study,All-Way Stop,denied,2020.0,data_cb5_signal_studies.csv,40.70052,-73.897962,39,50,16,0
CQ20-1334B,Myrtle Avenue & Norman Street,Signal Study,Traffic Signal,denied,2020.0,data_cb5_signal_studies.csv,40.700516,-73.89799,38,49,15,0
CQ22-2865B,Eliot Avenue & 69 Street,Signal Study,Traffic Signal,denied,2022.0,data_cb5_signal_studies.csv,40.71946,-73.89117,38,50,12,0
CQ20-1355B,Fresh Pond Road & Putnam Avenue,Signal Study,Traffic Signal,denied,2020.0,data_cb5_signal_studies.csv,40.706497,-73.89695,38,53,12,0
CQ22-1673B,Eliot Avenue & 69 Street,Signal Study,Left Turn Arrow/Signal,denied,2022.0,data_cb5_signal_studies.csv,40.71946,-73.89117,38,50,12,0
SR-20240625-31912,69 Place,SRTS,Speed Bump,denied,2024.0,srts_citywide.csv,40.720156,-73.889663,37,49,10,0
CQ24-0024B,Myrtle Avenue & St Nicholas Avenue,Signal Study,Traffic Signal,denied,2023.0,data_cb5_signal_studies.csv,40.69984,-73.90868,37,40,11,0
CQ22-1051B,Myrtle Avenue & 64 Street,Signal Study,Leading Pedestrian Interval,denied,2022.0,data_cb5_signal_studies.csv,40.700964,-73.89245299999999,37,44,11,0
CQ24-2501B,Myrtle Avenue & St Nicholas Avenue,Signal Study,Traffic Signal,denied,2024.0,data_cb5_signal_studies.csv,40.69984,-73.90868,37,40,11,0
CQ22-3213B,Myrtle Avenue & St Nicholas Avenue,Signal Study,Traffic Signal,denied,2022.0,data_cb5_signal_studies.csv,40.69984,-73.90868,37,40,11,0
CQ24-2734B,64 Place & Central Avenue,Signal Study,Traffic Signal,denied,2024.0,data_cb5_signal_studies.csv,40.702126,-73.89164,36,44,8,0
CQ22-1028,Flushing Avenue & 60 Lane,Signal Study,Traffic Signal,approved,2022.0,data_cb5_signal_studies.csv,40.720604,-73.9047875,35,39,10,0
SR-20251027-39682,Myrtle Avenue,SRTS,Speed Bump,denied,2025.0,srts_citywide.csv,40.700517,-73.898348,35,45,15,0
CQ20-0925B,Seneca Avenue & Centre Street,Signal Study,Traffic Signal,denied,2020.0,data_cb5_signal_studies.csv,40.699585,-73.902245,35,51,8,0
SR-20221006-28863,Cypress Hills Street,SRTS,Speed Bump,denied,2022.0,srts_citywide.csv,40.692317,-73.882678,35,49,2,0
CQ23-0066B,Grand Avenue & Borden Avenue,Signal Study,Traffic Signal,denied,2023.0,data_cb5_signal_studies.csv,40.725635,-73.895856,34,43,6,0
CQ20-1559B,Grand Avenue & Borden Avenue,Signal Study,Traffic Signal,denied,2020.0,data_cb5_signal_studies.csv,40.725635,-73.895856,34,43,6,0
CQ22-3501,69 Street & 60 Avenue,Signal Study,Traffic Signal,denied,2022.0,data_cb5_signal_studies.csv,40.72143,-73.892746,34,41,1,0
CQ22-1605B,Cypress Hills Street & Fresh Pond Road,Signal Study,Traffic Signal,denied,2022.0,data_cb5_signal_studies.csv,40.70697661724096,-73.89780783898678,34,47,11,0
CQ24-0154B,Grand Avenue & Borden Avenue,Signal Study,Left Turn Arrow/Signal,denied,2024.0,data_cb5_signal_studies.csv,40.725635,-73.895856,34,43,6,0
CQ21-2822B,Eliot Avenue & Fresh Pond Road,Signal Study,Left Turn Arrow/Signal,denied,2021.0,data_cb5_signal_studies.csv,40.714622,-73.90117,33,42,7,1
SR-20221006-28863,Cypress Hills Street,SRTS,Speed Bump,denied,2022.0,srts_citywide.csv,40.701103,-73.890867,33,38,9,0
CQ20-2507B,Woodhaven Boulevard & Union Turnpike,Signal Study,Leading Pedestrian Interval,denied,2020.0,data_cb5_signal_studies.csv,40.70559,-73.85823,33,44,3,0
CQ25-1762B,Woodhaven Boulevard & Union Turnpike,Signal Study,Traffic Signal,denied,2025.0,data_cb5_signal_studies.csv,40.70559,-73.85823,33,44,3,0
CQ25-0179B,Myrtle Avenue & Cypress Hills Street,Signal Study,Leading Pedestrian Interval,denied,2025.0,data_cb5_signal_studies.csv,40.701103,-73.89088,33,38,9,0
SR-20230428-29478,Myrtle Avenue,SRTS,Speed Bump,denied,2023.0,srts_citywide.csv,40.701103,-73.890867,33,38,9,0
CQ22-3384B,Myrtle Avenue & Cypress Hills Street,Signal Study,Traffic Signal,denied,2022.0,data_cb5_signal_studies.csv,40.701103,-73.89088,33,38,9,0
CQ20-0551B,Eliot Avenue & Fresh Pond Road,Signal Study,Leading Pedestrian Interval,denied,2020.0,data_cb5_signal_studies.csv,40.714622,-73.90117,33,42,7,1
SR-20220114-26801,Brown Place,SRTS,Speed Bump,denied,2021.0,srts_citywide.csv,40.725111,-73.896052,33,43,5,0
SR-20210827-26313,Cypress Hills Street,SRTS,Speed Bump,denied,2021.0,srts_citywide.csv,40.701103,-73.890867,33,38,9,0
CQ24-0295B,Fresh Pond Road & Eliot Avenue,Signal Study,Leading Pedestrian Interval,denied,2024.0,data_cb5_signal_studies.csv,40.714622,-73.90117,33,42,7,1
SR-20240715-32025,64 Street,SRTS,Speed Bump,denied,2024.0,srts_citywide.csv,40.723535,-73.901827,32,34,5,0
SR-20240318-31442,69 Street,SRTS,Speed Bump,denied,2024.0,srts_citywide.csv,40.720213,-73.89177,31,39,9,0
CQ22-0657,69 Street & 60 Drive,Signal Study,Traffic Signal,denied,2022.0,data_cb5_signal_studies.csv,40.72021,-73.89178,31,39,9,0
SR-20230721-30231,Palmetto Street,SRTS,Speed Bump,denied,2023.0,srts_citywide.csv,40.708403,-73.898004,31,40,4,0
CQ24-0508B,Woodhaven Boulevard & 81 Road,Signal Study,Left Turn Arrow/Signal,denied,2024.0,data_cb5_signal_studies.csv,40.70456,-73.856735,31,42,0,0
CQ22-2347B,Palmetto Street & Fresh Pond Road,Signal Study,Traffic Signal,denied,2022.0,data_cb5_signal_studies.csv,40.7084,-73.89801,31,40,4,0
SR-20210625-25909,Cooper Avenue,SRTS,Speed Bump,denied,2021.0,srts_citywide.csv,40.701281,-73.881677,30,35,7,0
SR-20230421-29422,68 Street,SRTS,Speed Bump,denied,2023.0,srts_citywide.csv,40.721,-73.893688,30,36,0,0
SR-20240719-32048,Putnam Avenue,SRTS,Speed Bump,denied,2024.0,srts_citywide.csv,40.706245,-73.898,29,38,12,0
SR-20221230-29142,81 Street,SRTS,Speed Bump,denied,2022.0,srts_citywide.csv,40.725396,-73.878369,29,36,13,0
CQ23-3628,Woodbine Street & 64 Street,Signal Study,All-Way Stop,denied,2023.0,data_cb5_signal_studies.csv,40.70776,-73.897565,29,42,7,0
CQ22-0469B,Cooper Avenue & 70 Street,Signal Study,Leading Pedestrian Interval,denied,2022.0,data_cb5_signal_studies.csv,40.70171,-73.88091,29,35,11,0
SR-20240917-32327,Eliot Avenue,SRTS,Speed Bump,denied,2024.0,srts_citywide.csv,40.718987,-73.892129,29,38,9,0
CQ22-1261B,Myrtle Avenue & Central Avenue,Signal Study,Leading Pedestrian Interval,denied,2022.0,data_cb5_signal_studies.csv,40.70086,-73.893845,29,36,7,0
SR-20240827-32230,Woodbine Street,SRTS,Speed Bump,denied,2024.0,srts_citywide.csv,40.70776,-73.897565,29,42,7,0
CQ20-2012B,Metropolitan Avenue & 80 Street,Signal Study,Left Turn Arrow/Signal,denied,2020.0,data_cb5_signal_studies.csv,40.713287,-73.87163,29,32,5,0
SR-20230307-29309,Otto Road,SRTS,Speed Bump,denied,2023.0,srts_citywide.csv,40.701863,-73.892716,29,35,8,0
SR-20230601-29824,Woodbine Street,SRTS,Speed Bump,denied,2023.0,srts_citywide.csv,40.700169,-73.909204,29,31,7,0
CQ25-1622B,Central Avenue & Cypress Hills Street,Signal Study,Left Turn Arrow/Signal,denied,2025.0,data_cb5_signal_studies.csv,40.701862,-73.89272,29,35,8,0
SR-20211202-26763,Putnam Avenue,SRTS,Speed Bump,denied,2021.0,srts_citywide.csv,40.706245,-73.898,29,38,12,0
SR-20230918-30597,74 Street,SRTS,Speed Bump,denied,2023.0,srts_citywide.csv,40.713215,-73.878583,29,40,14,0
SR-20230428-29478,Myrtle Avenue,SRTS,Speed Bump,denied,2023.0,srts_citywide.csv,40.701149,-73.890247,29,35,10,0
SR-20200928-19964,68 Avenue,SRTS,Speed Bump,denied,2020.0,srts_citywide.csv,40.703665,-73.901513,28,31,8,0
SR-20230421-29422,68 Street,SRTS,Speed Bump,denied,2023.0,srts_citywide.csv,40.719764,-73.892734,28,35,8,0
SR-20230613-29927,Gates Avenue,SRTS,Speed Bump,denied,2023.0,srts_citywide.csv,40.70904,-73.898454,28,33,4,0
CQ24-1014,68 Avenue & Forest Avenue,Signal Study,All-Way Stop,denied,2024.0,data_cb5_signal_studies.csv,40.703663,-73.90152,28,31,8,0
CQ21-1518,69 Street & 59 Drive,Signal Study,All-Way Stop,denied,2021.0,data_cb5_signal_studies.csv,40.72203,-73.89322,28,33,0,0
CQ24-0875B,Metropolitan Avenue & 74 Street,Signal Study,Left Turn Arrow/Signal,denied,2024.0,data_cb5_signal_studies.csv,40.71283,-73.878296,28,39,14,0
CQ24-0873B,Myrtle Avenue & Fresh Pond Road,Signal Study,Left Turn Arrow/Signal,denied,2024.0,data_cb5_signal_studies.csv,40.700798,-73.894585,28,34,6,0
CQ23-2785B,Metropolitan Avenue & Tonsor Street,Signal Study,Leading Pedestrian Interval,denied,2023.0,data_cb5_signal_studies.csv,40.71306,-73.90879,28,36,3,0
CQ24-0220,Linden Street & Onderdonk Avenue,Signal Study,All-Way Stop,approved,2024.0,data_cb5_signal_studies.csv,40.704594,-73.90826,28,41,6,0
SR-20241023-34491,81 Street,SRTS,Speed Bump,denied,2024.0,srts_citywide.csv,40.725728,-73.878636,28,38,12,0
CQ22-0484B,Cooper Avenue & Metropolitan Avenue,Signal Study,Leading Pedestrian Interval,denied,2022.0,data_cb5_signal_studies.csv,40.7122,-73.86208,28,44,2,0
SR-20231019-30827,Forest Avenue,SRTS,Speed Bump,denied,2022.0,srts_citywide.csv,40.703665,-73.901513,28,31,8,0
CQ22-3427B,Cooper Avenue & Metropolitan Avenue,Signal Study,Left Turn Arrow/Signal,denied,2022.0,data_cb5_signal_studies.csv,40.7122,-73.86208,28,44,2,0
SR-20201127-20144,Gates Avenue,SRTS,Speed Bump,denied,2020.0,srts_citywide.csv,40.70904,-73.898454,28,33,4,0
CQ23-0515,71 Place & Cooper Avenue,Signal Study,All-Way Stop,denied,2023.0,data_cb5_signal_studies.csv,40.702625,-73.8794,28,38,9,0
SR-20230421-29422,68 Street,SRTS,Speed Bump,denied,2023.0,srts_citywide.csv,40.721604,-73.89416,28,33,0,0
SR-20251027-39682,Myrtle Avenue,SRTS,Speed Bump,denied,2025.0,srts_citywide.csv,40.700617,-73.896721,28,35,7,0
CQ20-0606B,Fresh Pond Road & Myrtle Avenue,Signal Study,Leading Pedestrian Interval,denied,2020.0,data_cb5_signal_studies.csv,40.700798,-73.894585,28,34,6,0
SR-20250407-37912,Grove Street,SRTS,Speed Bump,denied,2025.0,srts_citywide.csv,40.710095,-73.900281,27,32,3,0
SR-20251027-39682,Myrtle Avenue,SRTS,Speed Bump,denied,2025.0,srts_citywide.csv,40.700653,-73.89627,27,32,6,0
SR-20240917-32327,Eliot Avenue,SRTS,Speed Bump,denied,2024.0,srts_citywide.csv,40.718806,-73.892512,27,44,6,0
CQ25-2410B,Myrtle Avenue & 60 Lane,Signal Study,Traffic Signal,denied,2025.0,data_cb5_signal_studies.csv,40.700653,-73.89628,27,32,6,0
SR-20251027-39682,Myrtle Avenue,SRTS,Speed Bump,denied,2025.0,srts_citywide.csv,40.700666,-73.896097,27,32,8,0
SR-20230502-29499,Linden Street,SRTS,Speed Bump,denied,2023.0,srts_citywide.csv,40.704593,-73.908246,26,39,5,0
SR-20240722-32053,Cypress Avenue,SRTS,Speed Bump,denied,2024.0,srts_citywide.csv,40.702124,-73.909583,26,30,5,0
SR-20241104-35527,Queens Midtown Expressway Sr S,SRTS,Speed Bump,denied,2024.0,srts_citywide.csv,40.725458,-73.899966,26,31,3,0
CQ23-0471B,Caldwell Avenue & Eliot Avenue,Signal Study,Leading Pedestrian Interval,denied,2023.0,data_cb5_signal_studies.csv,40.7252623621263,-73.8797865999895,26,36,11,0
SR-20240613-31825,79 Street,SRTS,Speed Bump,denied,2024.0,srts_citywide.csv,40.724626,-73.880027,26,36,10,0
SR-20230428-29469,Linden Street,SRTS,Speed Bump,denied,2023.0,srts_citywide.csv,40.704593,-73.908246,26,39,5,0
SR-20251203-39806,Woodward Avenue,SRTS,Speed Bump,denied,2025.0,srts_citywide.csv,40.704112,-73.904358,25,28,10,0
CQ24-1264B,Metropolitan Avenue & 75 Street,Signal Study,Left Turn Arrow/Signal,denied,2024.0,data_cb5_signal_studies.csv,40.712887,-73.877716,25,35,13,0
CQ20-2399,60 Road & 69 Street,Signal Study,Traffic Signal,denied,2020.0,data_cb5_signal_studies.csv,40.72082,-73.892265,25,32,2,0
SR-20251203-39806,Woodward Avenue,SRTS,Speed Bump,denied,2025.0,srts_citywide.csv,40.703538,-73.903382,25,28,8,0
CQ22-1778,Fresh Pond Road & 67 Avenue,Signal Study,Traffic Signal,denied,2022.0,data_cb5_signal_studies.csv,40.705765,-73.896576,25,27,11,0
SR-20240318-31442,69 Street,SRTS,Speed Bump,denied,2024.0,srts_citywide.csv,40.720823,-73.892256,25,32,2,0
SR-20250912-39479,Woodward Avenue,SRTS,Speed Bump,denied,2025.0,srts_citywide.csv,40.703538,-73.903382,25,28,8,0
CQ22-0486B,Cooper Avenue & Woodhaven Boulevard,Signal Study,Leading Pedestrian Interval,denied,2022.0,data_cb5_signal_studies.csv,40.713057975976746,-73.86204125524468,25,41,1,0
SR-20230421-29422,68 Street,SRTS,Speed Bump,denied,2023.0,srts_citywide.csv,40.720382,-73.893216,25,32,2,0
SR-20250912-39479,Woodward Avenue,SRTS,Speed Bump,denied,2025.0,srts_citywide.csv,40.704112,-73.904358,25,28,10,0
SR-20221230-29140,68 Street,SRTS,Speed Bump,denied,2022.0,srts_citywide.csv,40.720382,-73.893216,25,32,2,0
CQ24-2214B,Fresh Pond Road & 67 Avenue,Signal Study,Traffic Signal,denied,2024.0,data_cb5_signal_studies.csv,40.705765,-73.896576,25,27,11,0
CQ22-3561,69 Street & 60 Road,Signal Study,Traffic Signal,denied,2022.0,data_cb5_signal_studies.csv,40.72082,-73.892265,25,32,2,0
CQ23-3043,69 Street & Cooper Avenue,Signal Study,All-Way Stop,denied,2023.0,data_cb5_signal_studies.csv,40.70086,-73.882454,24,29,6,0
CQ23-3380,64 Place & 74 Avenue,Signal Study,All-Way Stop,denied,2023.0,data_cb5_signal_studies.csv,40.700333,-73.89145,24,27,9,0
SR-20220128-26815,Cooper Avenue,SRTS,Speed Bump,denied,2021.0,srts_citywide.csv,40.700862,-73.88245,24,29,6,0
SR-20230908-30548,64 Lane,SRTS,Speed Bump,denied,2023.0,srts_citywide.csv,40.700417,-73.890497,24,29,10,0
SR-20230426-29450,Catalpa Avenue,SRTS,Speed Bump,denied,2023.0,srts_citywide.csv,40.702337,-73.901367,24,28,5,0
SR-20241104-35527,Queens Midtown Expressway Sr S,SRTS,Speed Bump,denied,2024.0,srts_citywide.csv,40.725424,-73.899508,24,29,3,0
CQ23-0075,Woodward Avenue & Catalpa Avenue,Signal Study,All-Way Stop,denied,2023.0,data_cb5_signal_studies.csv,40.702335,-73.901375,24,28,5,0
CQ23-1380B,Forest Avenue & Norman Street,Signal Study,Leading Pedestrian Interval,denied,2023.0,data_cb5_signal_studies.csv,40.69966,-73.8988,24,33,10,0
CQ21-0791,69 Street & 55 Avenue,Signal Study,All-Way Stop,denied,2021.0,data_cb5_signal_studies.csv,40.727787,-73.89551,24,28,5,0
SR-20240111-31240,Cornelia Street,SRTS,Speed Bump,denied,2024.0,srts_citywide.csv,40.701963,-73.903802,24,25,8,0
CQ24-0736B,Borden Avenue & Hamilton Place,Signal Study,Traffic Signal,denied,2024.0,data_cb5_signal_studies.csv,40.72616,-73.90012,24,28,3,0
SR-20240111-31241,Onderdonk Avenue,SRTS,Speed Bump,denied,2024.0,srts_citywide.csv,40.701963,-73.903802,24,25,8,0
SR-20251203-39806,Woodward Avenue,SRTS,Speed Bump,approved,2025.0,srts_citywide.csv,40.702664,-73.901897,23,28,4,0
CQ23-3227B,Metropolitan Avenue & 73 Place,Signal Study,Leading Pedestrian Interval,denied,2023.0,data_cb5_signal_studies.csv,40.712727,-73.87935,23,28,12,0
CQ18-2390B,Metropolitan Avenue & 73 Place,Signal Study,Left Turn Arrow/Signal,denied,2020.0,data_cb5_signal_studies.csv,40.712727,-73.87935,23,28,12,0
SR-20231019-30827,Forest Avenue,SRTS,Speed Bump,denied,2022.0,srts_citywide.csv,40.703215,-73.901323,23,26,7,0
CQ24-0509B,Woodhaven Boulevard & 62 Road,Signal Study,Left Turn Arrow/Signal,denied,2024.0,data_cb5_signal_studies.csv,40.726185,-73.87022,23,34,5,0
SR-20250923-39520,Fairview Avenue,SRTS,Speed Bump,denied,2025.0,srts_citywide.csv,40.704608,-73.902291,23,28,7,0
SR-20230302-29297,73 Place,SRTS,Speed Bump,denied,2020.0,srts_citywide.csv,40.712727,-73.879341,23,28,12,0
CQ22-0451,Myrtle Avenue & 61 Street,Signal Study,Traffic Signal,denied,2022.0,data_cb5_signal_studies.csv,40.700826,-73.894236,22,25,6,0
SR-20201009-20014,Catalpa Avenue,SRTS,Speed Bump,denied,2020.0,srts_citywide.csv,40.702449,-73.900985,22,26,3,0
CQ21-1506B,Myrtle Avenue & 62 Street,Signal Study,Traffic Signal,denied,2021.0,data_cb5_signal_studies.csv,40.70089,-73.89336,22,26,7,0
