Year,Citywide,Queens,Source Dataset
2020,2434,945,Signal Studies [w76s-c5u4]
2021,3071,1222,Signal Studies [w76s-c5u4]
2022,3209,1178,Signal Studies [w76s-c5u4]
2023,3355,1196,Signal Studies [w76s-c5u4]
2024,3396,1172,Signal Studies [w76s-c5u4]
2025,3020,1018,Signal Studies [w76s-c5u4]
