Year,Citywide,Queens,Source Dataset
2020,2434,945,Signal Studies [w76s-c5u4]
2021,3070,1222,Signal Studies [w76s-c5u4]
2022,3207,1178,Signal Studies [w76s-c5u4]
2023,3342,1193,Signal Studies [w76s-c5u4]
2024,3373,1169,Signal Studies [w76s-c5u4]
2025,2398,779,Signal Studies [w76s-c5u4]
