Denial Reason,Count,Percent,Source Dataset
Stop Controls,54,2.9,Speed Reducer Tracking System [9n6h-pt9g]
Bus Route,55,3.0,Speed Reducer Tracking System [9n6h-pt9g]
Near Speed Camera,63,3.4,Speed Reducer Tracking System [9n6h-pt9g]
Street Too Short,159,8.7,Speed Reducer Tracking System [9n6h-pt9g]
Other,160,8.7,Speed Reducer Tracking System [9n6h-pt9g]
Driveways,296,16.1,Speed Reducer Tracking System [9n6h-pt9g]
Not Specified,406,22.1,Speed Reducer Tracking System [9n6h-pt9g]
Speed < 30 mph,642,35.0,Speed Reducer Tracking System [9n6h-pt9g]
