projectcode,onstreet,fromstreet,tostreet,outcome,requestdate,closeddate,projectstatus,denialreason,installationdate,trafficdirectiondesc,crashes_150m,injuries_150m,ped_injuries_150m,fatalities_150m,latitude,longitude,Source File
SR-20210827-26313,CYPRESS HILLS STREET,74 AVENUE,65 STREET,denied,2021-07-12,2023-06-08T11:39:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,16,19,7,0,40.700474,-73.889692,srts_citywide.csv
SR-20210726-26106,FRESH POND ROAD,59 ROAD,61 STREET,denied,2021-05-31,2024-04-16T12:28:00.000,"Accept planning proposal of Not Feasible, Closed",Speed Reducer (Hump or Cushion) denied for not being 1000' clear of speed camera,,Two-way,15,20,1,0,40.71868,-73.902292,srts_citywide.csv
SR-20200928-19964,68 AVENUE,60 LANE,FRESH POND ROAD,denied,2020-01-09,2023-03-09T13:55:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,5,5,2,0,40.704607,-73.898244,srts_citywide.csv
SR-20240409-31526,OTTO ROAD,67 STREET,67 PLACE,denied,2024-04-08,2024-04-22T13:33:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,4,4,0,0,40.705811,-73.888262,srts_citywide.csv
SR-20210408-25623,JUNIPER BOULEVARD NORTH,82 STREET,63 AVENUE,denied,2020-11-24,2023-06-01T15:12:00.000,"Accept planning proposal of Not Feasible, Closed",Speed Reducer (Hump or Cushion) denied for not being 1000' clear of speed camera,,Two-way,11,19,1,0,40.722007,-73.874555,srts_citywide.csv
SR-20241009-33426,69 LANE,CALDWELL AVENUE,60 AVENUE,denied,2024-09-20,2024-10-28T14:18:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,6,7,0,0,40.724256,-73.891818,srts_citywide.csv
SR-20230512-29660,RENE COURT,GRANDVIEW AVENUE,METROPOLITAN AVENUE,denied,2023-05-11,2023-05-17T13:13:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,17,22,2,0,40.712215,-73.91116,srts_citywide.csv
SR-20240409-31526,OTTO ROAD,68 PLACE,69 STREET,denied,2024-04-08,2024-04-22T13:33:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,4,5,1,0,40.706154,-73.885549,srts_citywide.csv
SR-20230718-30204,78 AVENUE,CYPRESS AVENUE,60 STREET,denied,2023-07-18,2023-07-26T14:26:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,12,16,4,0,40.695157,-73.898616,srts_citywide.csv
SR-20241016-33465,77 AVENUE,78 STREET,79 STREET,denied,2024-10-15,2024-10-28T14:29:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,8,9,1,0,40.70652,-73.873214,srts_citywide.csv
SR-20231113-30977,CENTRAL AVENUE,72 STREET,72 PLACE,denied,2023-11-13,2023-11-29T11:55:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,8,8,2,0,40.70502,-73.879431,srts_citywide.csv
SR-20221004-28843,75 STREET,COOK AVENUE,69 ROAD,denied,2022-09-30,2022-10-06T15:07:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,2,2,1,0,40.70895,-73.876477,srts_citywide.csv
SR-20221230-29142,81 STREET,62 AVENUE,JUNIPER BOULEVARD NORTH,denied,2022-12-29,2022-12-30T12:48:00.000,"Accept planning proposal of Not Feasible, Closed",Insufficient radar speed data recorded or provided.,,One-way,9,11,0,0,40.723486,-73.87684,srts_citywide.csv
SR-20230302-29297,73 PLACE,68 ROAD,69 AVENUE,denied,2020-05-27,2023-11-21T11:03:00.000,Denied pre-inspection - Closed,,,Two-way,4,4,1,0,40.709814,-73.878531,srts_citywide.csv
SR-20230613-29927,GATES AVENUE,FRESH POND ROAD,64 STREET,denied,2023-06-13,2023-06-26T13:33:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,28,33,4,0,40.70904,-73.898454,srts_citywide.csv
SR-20240111-31241,ONDERDONK AVENUE,CORNELIA STREET,CATALPA AVENUE,denied,2024-01-11,2024-01-29T13:46:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,24,25,8,0,40.701963,-73.903802,srts_citywide.csv
SR-20231113-30977,CENTRAL AVENUE,71 STREET,71 PLACE,denied,2023-11-13,2023-11-29T11:55:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,9,9,2,0,40.704607,-73.881148,srts_citywide.csv
SR-20240409-31526,OTTO ROAD,69 STREET,69 PLACE,denied,2024-04-08,2024-04-22T13:33:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,6,7,1,0,40.706123,-73.884597,srts_citywide.csv
SR-20231116-31005,SUMMERFIELD STREET,WYCKOFF AVENUE,CYPRESS AVENUE,denied,2023-01-11,2023-11-29T12:10:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,13,14,7,0,40.694694,-73.902511,srts_citywide.csv
SR-20230328-29360,69 PLACE,60 AVENUE,60 ROAD,denied,2023-03-27,2023-04-21T12:14:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,21,26,2,0,40.722123,-73.89124,srts_citywide.csv
SR-20230816-30386,64 STREET,58 ROAD,59 AVENUE,denied,2023-08-16,2024-04-03T12:54:00.000,"Accept planning proposal of Not Feasible, Closed",Speed Reducer (Hump or Cushion) denied for not being 1000' clear of speed camera,,Two-way,2,2,0,0,40.720743,-73.900914,srts_citywide.csv
SR-20240111-31241,ONDERDONK AVENUE,PUTNAM AVENUE,CORNELIA STREET,denied,2024-01-11,2024-01-29T13:46:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,16,16,4,0,40.7024,-73.904541,srts_citywide.csv
SR-20230613-29917,OTTO ROAD,67 PLACE,68 STREET,denied,2023-06-07,2023-06-26T13:31:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,1,1,0,0,40.706018,-73.887396,srts_citywide.csv
SR-20210916-26506,78 AVENUE,74 STREET,75 STREET,denied,2021-09-02,2023-07-25T11:32:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,0,0,0,0,40.704392,-73.875255,srts_citywide.csv
SR-20210908-26408,73 PLACE,66 ROAD,66 DRIVE,denied,2021-08-04,2023-06-06T16:11:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,9,11,4,0,40.714323,-73.880561,srts_citywide.csv
SR-20230428-29478,MYRTLE AVENUE,65 PLACE,66 STREET,denied,2023-04-28,2023-11-27T12:25:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,6,8,2,0,40.701277,-73.888861,srts_citywide.csv
SR-20230302-29297,73 PLACE,68 AVENUE,68 ROAD,denied,2020-05-27,2023-11-21T11:03:00.000,Denied pre-inspection - Closed,,,Two-way,5,6,3,0,40.710484,-73.87893,srts_citywide.csv
SR-20230928-30663,66 PLACE,CENTRAL AVENUE,MYRTLE AVENUE,denied,2023-09-28,2023-10-06T16:42:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,16,22,5,0,40.702972,-73.888043,srts_citywide.csv
SR-20220825-27661,65 PLACE,METROPOLITAN AVENUE,ADMIRAL AVENUE,denied,2022-08-24,2023-07-07T12:59:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,17,19,1,0,40.712479,-73.895025,srts_citywide.csv
SR-20240318-31442,69 STREET,60 DRIVE,ELIOT AVENUE,denied,2024-01-09,2024-03-18T19:04:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,31,39,9,0,40.720213,-73.89177,srts_citywide.csv
SR-20221107-28997,77 AVENUE,87 STREET,88 STREET,denied,2022-11-04,2022-11-07T14:08:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,2,2,0,0,40.706716,-73.862389,srts_citywide.csv
SR-20221107-28997,77 AVENUE,86 STREET,87 STREET,denied,2022-11-04,2022-11-07T14:08:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,2,2,0,0,40.706701,-73.863327,srts_citywide.csv
SR-20210908-26408,73 PLACE,66 DRIVE,METROPOLITAN AVENUE,denied,2021-08-04,2023-06-06T16:11:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,20,25,7,0,40.713655,-73.880032,srts_citywide.csv
SR-20221103-28989,56 DRIVE,61 STREET,64 STREET,denied,2022-11-02,2022-11-04T12:23:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,7,10,4,0,40.723707,-73.904449,srts_citywide.csv
SR-20240308-31399,69 ROAD,73 PLACE,74 STREET,denied,2024-03-06,2024-04-01T12:33:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,4,7,1,0,40.70796,-73.877777,srts_citywide.csv
SR-20231018-30822,60 PLACE,MADISON STREET,PUTNAM AVENUE,denied,2022-11-27,2023-11-01T12:32:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,7,8,3,0,40.706357,-73.900268,srts_citywide.csv
SR-20210513-25735,69 LANE,CALDWELL AVENUE,60 AVENUE,denied,2021-02-01,2023-04-17T12:00:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,6,7,0,0,40.724256,-73.891818,srts_citywide.csv
SR-20230809-30335,FLUSHING AVENUE,FRESH POND ROAD,63 STREET,denied,2023-08-08,2023-12-21T16:13:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,46,48,11,0,40.721629,-73.903117,srts_citywide.csv
SR-20230509-29582,PLEASANTVIEW STREET,66 ROAD,66 DRIVE,denied,2023-03-31,2023-09-18T16:16:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,5,7,1,0,40.714146,-73.882343,srts_citywide.csv
SR-20220803-27582,62 AVENUE,69 LANE,70 STREET,denied,2022-07-29,2024-12-26T17:00:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,3,3,2,0,40.718631,-73.887314,srts_citywide.csv
SR-20241204-35622,69 STREET,58 ROAD,CALDWELL AVENUE,denied,2024-12-03,2024-12-26T13:33:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,18,25,2,0,40.723921,-73.894336,srts_citywide.csv
SR-20221031-28965,62 AVENUE,56 STREET,60 STREET,denied,2022-10-29,2022-11-01T09:54:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,39,48,14,0,40.713614,-73.90683,srts_citywide.csv
SR-20220803-27582,62 AVENUE,69 PLACE,69 LANE,denied,2022-07-29,2024-12-26T17:00:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,4,7,2,0,40.718255,-73.888144,srts_citywide.csv
SR-20230322-29346,67 STREET,MYRTLE AVENUE,COOPER AVENUE,denied,2023-03-17,2024-12-26T17:03:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,8,8,3,0,40.701508,-73.88607,srts_citywide.csv
SR-20230428-29478,MYRTLE AVENUE,CYPRESS HILLS STREET,65 STREET,denied,2023-04-28,2023-11-27T12:25:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,33,38,9,0,40.701103,-73.890867,srts_citywide.csv
SR-20220329-26997,69 AVENUE,ONDERDONK AVENUE,FOREST AVENUE,denied,2022-02-14,2023-06-20T13:41:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,57,67,15,0,40.701229,-73.902559,srts_citywide.csv
SR-20210226-25427,60 AVENUE,FRESH POND ROAD,MT OLIVET CRESCENT,denied,2020-02-03,2023-10-04T12:39:00.000,"Accept planning proposal of Not Feasible, Closed",multiple impeding driveways / curb cuts,,One-way,11,17,2,0,40.716893,-73.901797,srts_citywide.csv
SR-20230518-29719,58 AVENUE,59 STREET,GRAND AVENUE,denied,2023-05-16,2024-04-25T18:00:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,6,7,1,0,40.721084,-73.908342,srts_citywide.csv
SR-20220701-27447,65 PLACE,CLARAN COURT,55 AVENUE,denied,2021-01-16,2023-10-16T14:40:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,9,9,1,0,40.728076,-73.900272,srts_citywide.csv
SR-20241211-35639,82 STREET,62 AVENUE,JUNIPER BOULEVARD NORTH,denied,2024-12-10,2024-12-26T13:24:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,5,6,1,0,40.723859,-73.876042,srts_citywide.csv
SR-20211202-26763,PUTNAM AVENUE,60 PLACE,60 LANE,denied,2021-11-04,2023-10-24T10:54:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,9,10,4,0,40.705772,-73.899963,srts_citywide.csv
SR-20220308-26862,CENTRAL AVENUE,66 STREET,66 PLACE,denied,2021-12-02,2023-10-24T10:55:00.000,"Accept planning proposal of Not Feasible, Closed",Speed Reducer (Hump or Cushion) denied for not being 1000' clear of speed camera,,Two-way,16,18,5,0,40.702762,-73.888935,srts_citywide.csv
SR-20230621-29989,75 AVENUE,60 PLACE,60 LANE,denied,2023-06-20,2023-11-06T14:58:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,8,10,0,0,40.698511,-73.895779,srts_citywide.csv
SR-20230605-29844,60 STREET,59 AVENUE,59 ROAD,denied,2023-06-03,2023-06-23T16:28:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,10,15,1,0,40.718796,-73.906707,srts_citywide.csv
SR-20210427-25680,DECATUR STREET,CYPRESS AVENUE,SENECA AVENUE,denied,2020-12-21,2023-11-15T12:15:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,18,23,6,0,40.69622,-73.899869,srts_citywide.csv
SR-20240318-31442,69 STREET,60 ROAD,60 DRIVE,denied,2024-01-09,2024-03-18T19:04:00.000,"Accept planning proposal of Not Feasible, Closed",multi-lane roadway,,Two-way,25,32,2,0,40.720823,-73.892256,srts_citywide.csv
SR-20231018-30822,60 PLACE,PALMETTO STREET,WOODBINE STREET,denied,2022-11-27,2023-11-01T12:32:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,9,9,2,0,40.70767,-73.901049,srts_citywide.csv
SR-20230612-29896,GREENE AVENUE,RICARD STREET,BUTLER AVENUE,denied,2023-06-09,2023-06-26T13:27:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,5,6,4,0,40.710156,-73.907329,srts_citywide.csv
SR-20230620-29970,81 STREET,62 AVENUE,JUNIPER BOULEVARD NORTH,denied,2023-06-16,2024-02-05T08:37:00.000,Denied pre-inspection - Closed,,,One-way,9,11,0,0,40.723486,-73.87684,srts_citywide.csv
SR-20210107-24269,80 AVENUE,COOPER AVENUE,60 LANE,denied,2020-07-06,2023-06-06T12:34:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,20,21,5,0,40.694743,-73.895789,srts_citywide.csv
SR-20210901-26370,61 STREET,FLUSHING AVENUE,59 AVENUE,denied,2021-07-26,2023-10-19T12:33:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,48,54,14,0,40.721031,-73.904096,srts_citywide.csv
SR-20221107-28997,77 AVENUE,85 STREET,86 STREET,denied,2022-11-04,2022-11-07T14:08:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,1,1,0,0,40.706685,-73.864268,srts_citywide.csv
SR-20220809-27601,CYPRESS AVENUE,CABOT ROAD,CLOVER PLACE,denied,2022-08-04,2023-11-02T12:38:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,57,72,13,0,40.693843,-73.896912,srts_citywide.csv
SR-20210908-26408,73 PLACE,JUNIPER VALLEY ROAD,66 ROAD,denied,2021-08-04,2023-06-06T16:11:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,8,9,4,0,40.715053,-73.881151,srts_citywide.csv
SR-20240402-31495,61 ROAD,68 STREET,69 STREET,denied,2024-04-01,2024-04-17T12:50:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,9,22,0,0,40.718182,-73.891997,srts_citywide.csv
SR-20230613-29917,OTTO ROAD,68 STREET,68 PLACE,denied,2023-06-07,2023-06-26T13:31:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,2,3,0,0,40.706226,-73.886527,srts_citywide.csv
SR-20221107-28997,77 AVENUE,83 STREET,84 STREET,denied,2022-11-04,2022-11-07T14:08:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,0,0,0,0,40.706657,-73.86613,srts_citywide.csv
SR-20220114-26801,BROWN PLACE,58 AVENUE,58 ROAD,denied,2021-11-12,2024-01-11T13:15:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,10,12,2,0,40.724068,-73.895776,srts_citywide.csv
SR-20221230-29142,81 STREET,ELIOT AVENUE,62 AVENUE,denied,2022-12-29,2022-12-30T12:48:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,29,36,13,0,40.725396,-73.878369,srts_citywide.csv
SR-20230621-29989,75 AVENUE,60 LANE,61 STREET,denied,2023-06-20,2023-11-06T14:58:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,3,5,0,0,40.69859,-73.894849,srts_citywide.csv
SR-20260112-39914,65 PLACE,DEAD END,68 AVENUE,denied,2025-12-30,2026-02-05T14:13:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,2,3,0,0,40.707201,-73.892155,srts_citywide.csv
SR-20220607-27303,LUTHERAN AVENUE,75 STREET,JUNIPER BOULEVARD NORTH,denied,2022-06-02,2024-12-26T16:58:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,13,16,3,0,40.722062,-73.884588,srts_citywide.csv
SR-20220607-27303,LUTHERAN AVENUE,ELIOT AVENUE,75 STREET,denied,2022-06-02,2024-12-26T16:58:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,13,16,3,0,40.722525,-73.884551,srts_citywide.csv
SR-20260112-39914,65 PLACE,68 AVENUE,CATALPA AVENUE,denied,2025-12-30,2026-02-05T14:13:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,2,2,1,0,40.706399,-73.891814,srts_citywide.csv
SR-20240917-32327,ELIOT AVENUE,68 STREET,69 STREET,denied,2024-09-14,2024-11-01T15:06:00.000,"Planning denied Pre-inspection, Closed",Speed Reducer (Hump or Cushion) denied for not being 1000' clear of speed camera,,Two-way,29,38,9,0,40.718987,-73.892129,srts_citywide.csv
SR-20220928-27825,COOPER AVENUE,72 PLACE,73 STREET,denied,2022-09-15,2022-11-01T10:49:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,5,8,1,0,40.703522,-73.877872,srts_citywide.csv
SR-20240917-32327,ELIOT AVENUE,67 STREET,68 STREET,denied,2024-09-14,2024-11-01T15:06:00.000,"Planning denied Pre-inspection, Closed",Speed Reducer (Hump or Cushion) denied for not being 1000' clear of speed camera,,Two-way,7,20,0,0,40.718206,-73.893757,srts_citywide.csv
SR-20240917-32327,ELIOT AVENUE,68 STREET,68 STREET,denied,2024-09-14,2024-11-01T15:06:00.000,"Planning denied Pre-inspection, Closed",Speed Reducer (Hump or Cushion) denied for not being 1000' clear of speed camera,,Two-way,27,44,6,0,40.718806,-73.892512,srts_citywide.csv
SR-20201109-20098,PUTNAM AVENUE,ONDERDONK AVENUE,WOODWARD AVENUE,denied,2020-02-13,2023-11-13T15:08:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,16,16,4,0,40.7024,-73.904541,srts_citywide.csv
SR-20240917-32327,ELIOT AVENUE,MOUNT OLIVET CRESCENT,67 STREET,denied,2024-09-14,2024-11-01T15:06:00.000,"Planning denied Pre-inspection, Closed",street not wide enough,,Two-way,15,20,2,0,40.716384,-73.897501,srts_citywide.csv
SR-20231114-30982,60 ROAD,FRESH POND ROAD,MT OLIVET CRESCENT,denied,2023-11-09,2023-11-29T11:57:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,6,7,1,0,40.716143,-73.901585,srts_citywide.csv
SR-20221031-28969,62 STREET,53 AVENUE,53 DRIVE,denied,2022-10-31,2022-11-01T09:54:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,3,3,1,0,40.73172,-73.901764,srts_citywide.csv
SR-20251229-39878,74 AVENUE,88 STREET,89 STREET,denied,2025-06-18,2026-02-09T15:50:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,3,3,1,0,40.708331,-73.863042,srts_citywide.csv
SR-20251229-39879,71 STREET,JUNIPER BOULEVARD SOUTH,PENELOPE AVENUE,denied,2025-05-06,2026-02-09T15:50:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,8,9,3,0,40.717524,-73.884228,srts_citywide.csv
SR-20230811-30358,MT OLIVER CRESCENT,60 AVENUE,60 AVENUE,denied,2023-08-11,2024-04-17T12:53:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,1,1,0,0,40.717967,-73.900049,srts_citywide.csv
SR-20220323-26927,SENECA AVENUE,DEKALB AVENUE,STOCKHOLM STREET,denied,2022-01-04,2022-11-28T09:15:00.000,"Accept planning proposal of Not Feasible, Closed",Speed Cushion denied for not being 1000' clear of a speed camera,,Two-way,12,16,4,0,40.707632,-73.915841,srts_citywide.csv
SR-20201009-20015,60 LANE,CATALPA AVENUE,69 AVENUE,denied,2020-01-09,2023-12-04T12:20:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,4,4,1,0,40.703415,-73.897647,srts_citywide.csv
SR-20220128-26815,COOPER AVENUE,68 STREET,69 STREET,denied,2021-11-12,2023-06-26T09:47:00.000,"Accept planning proposal of Not Feasible, Closed",Speed Cushion denied for not being 1000' clear of a speed camera,,Two-way,12,14,3,0,40.700476,-73.883431,srts_citywide.csv
SR-20231019-30827,FOREST AVENUE,68 ROAD,68 ROAD,denied,2022-11-08,2023-11-01T12:33:00.000,"Accept planning proposal of Not Feasible, Closed",street too short,,Two-way,23,26,7,0,40.703215,-73.901323,srts_citywide.csv
SR-20230608-29880,69 ROAD,79 STREET,80 STREET,denied,2023-06-08,2023-06-26T13:26:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,19,25,4,0,40.709083,-73.873281,srts_citywide.csv
SR-20210608-25823,61 STREET,75 AVENUE,ST FELIX AVENUE,denied,2021-03-27,2023-11-16T13:01:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,7,10,1,0,40.698666,-73.893936,srts_citywide.csv
SR-20230711-30162,81 AVENUE,MYRTLE AVENUE,88 STREET,denied,2023-07-11,2023-07-26T12:33:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,20,27,1,0,40.70327,-73.861422,srts_citywide.csv
SR-20231018-30822,60 PLACE,WOODBINE STREET,MADISON STREET,denied,2022-11-27,2023-11-01T12:32:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,10,11,2,0,40.707013,-73.900661,srts_citywide.csv
SR-20240419-31592,METROPOLITAN AVENUE,71 STREET,PLEASANTVIEW STREET,denied,2024-04-18,2024-05-02T12:29:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,10,13,2,0,40.71223,-73.884352,srts_citywide.csv
