projectcode,onstreet,fromstreet,tostreet,outcome,requestdate,closeddate,projectstatus,denialreason,installationdate,trafficdirectiondesc,crashes_150m,injuries_150m,ped_injuries_150m,fatalities_150m,latitude,longitude,Source File
SR-20221230-29140,68 STREET,60 ROAD,60 DRIVE,denied,2022-12-18,2022-12-30T12:47:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,25,32,2,0,40.720382,-73.893216,srts_citywide.csv
SR-20241009-33426,69 LANE,57 DRIVE,QUEENS MIDTOWN EXPRESSWAY,denied,2024-09-20,2024-10-28T14:18:00.000,"Accept planning proposal of Not Feasible, Closed",Block is outside requested study parameter limits.,,One-way,5,6,1,0,40.726025,-73.893236,srts_citywide.csv
SR-20210917-26523,60 LANE,60 DRIVE,ELIOT AVENUE,denied,2021-09-09,2023-06-01T15:32:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,2,2,1,0,40.715398,-73.903328,srts_citywide.csv
SR-20230613-29917,OTTO ROAD,67 STREET,67 PLACE,denied,2023-06-07,2023-06-26T13:31:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,4,4,0,0,40.705811,-73.888262,srts_citywide.csv
SR-20241011-33443,58 AVENUE,58 PLACE,59 STREET,denied,2024-10-10,2024-10-28T14:22:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,5,5,0,0,40.721001,-73.910561,srts_citywide.csv
SR-20210322-25534,BUTLER AVENUE,GREENE AVENUE,BLEECKER STREET,denied,2020-10-19,2023-02-23T14:38:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,6,7,4,0,40.710258,-73.907217,srts_citywide.csv
SR-20240402-31496,61 DRIVE,67 STREET,68 STREET,denied,2024-04-01,2024-04-17T12:50:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,0,0,0,0,40.71667,-73.892692,srts_citywide.csv
SR-20220802-27575,PENELOPE AVENUE,PLEASANTVIEW STREET,73 PLACE,denied,2022-07-28,2023-08-29T14:14:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,3,3,0,0,40.716172,-73.882379,srts_citywide.csv
SR-20210917-26533,OTTO ROAD,67 PLACE,68 STREET,denied,2021-09-12,2023-05-18T12:44:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,1,1,0,0,40.706018,-73.887396,srts_citywide.csv
SR-20231018-30822,60 PLACE,GATES AVENUE,PALMETTO STREET,denied,2022-11-27,2023-11-01T12:32:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,10,10,2,0,40.708323,-73.901438,srts_citywide.csv
SR-20230621-29993,78 AVENUE,75 STREET,76 STREET,denied,2023-06-20,2023-09-20T12:15:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,3,5,1,0,40.704473,-73.874307,srts_citywide.csv
SR-20240318-31430,58 STREET,57 DRIVE,58 AVENUE,denied,2024-03-15,2024-04-01T12:35:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,12,14,1,0,40.721636,-73.911988,srts_citywide.csv
SR-20230307-29312,63 STREET,FLUSHING AVENUE,59 AVENUE,denied,2023-02-20,2023-03-13T10:53:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,41,45,7,0,40.722144,-73.902269,srts_citywide.csv
SR-20200928-19964,68 AVENUE,60 STREET,60 LANE,denied,2020-01-09,2023-03-09T13:55:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,14,16,4,0,40.704068,-73.900113,srts_citywide.csv
SR-20240419-31593,61 STREET,60 LANE,75 AVENUE,denied,2024-04-19,2024-05-02T12:30:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,18,19,5,0,40.700508,-73.8942,srts_citywide.csv
SR-20241017-33472,PENELOPE AVENUE,69 PLACE,70 STREET,denied,2024-10-17,2024-10-28T14:30:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,7,9,1,0,40.716017,-73.886351,srts_citywide.csv
SR-20230307-29309,OTTO ROAD,64 STREET,64 PLACE,denied,2023-02-20,2023-03-13T10:52:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,29,35,8,0,40.701863,-73.892716,srts_citywide.csv
SR-20241009-33426,69 LANE,QUEENS MIDTOWN EXPRESSWAY,QUEENS MIDTOWN EXPRESSWAY,denied,2024-09-20,2024-10-28T14:18:00.000,"Accept planning proposal of Not Feasible, Closed",Block is outside requested study parameter limits.,,One-way,5,6,0,0,40.725077,-73.89248,srts_citywide.csv
SR-20230420-29406,59 STREET,58 ROAD,58 DRIVE,denied,2023-04-14,2023-04-28T12:23:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,6,7,1,0,40.720461,-73.908303,srts_citywide.csv
SR-20230302-29297,73 PLACE,METROPOLITAN AVENUE,67 ROAD,denied,2020-05-27,2023-11-21T11:03:00.000,Denied pre-inspection - Closed,,,Two-way,23,28,12,0,40.712727,-73.879341,srts_citywide.csv
SR-20230602-29828,59 AVENUE,FRESH POND ROAD,63 STREET,denied,2023-06-02,2023-06-15T13:00:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,12,13,0,0,40.719408,-73.902496,srts_citywide.csv
SR-20210916-26516,76 STREET,58 AVENUE,58 ROAD,denied,2021-09-07,2023-03-29T11:01:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,2,3,3,0,40.726478,-73.884475,srts_citywide.csv
SR-20210820-26255,AUBREY AVENUE,88 STREET,METROPOLITAN AVENUE,denied,2021-06-30,2023-05-12T14:25:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,10,14,2,1,40.710083,-73.864445,srts_citywide.csv
SR-20240501-31621,70 STREET,60 AVENUE,ELIOT AVENUE,denied,2024-05-01,2024-05-13T13:16:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,7,8,2,0,40.722882,-73.889619,srts_citywide.csv
SR-20230613-29927,GATES AVENUE,60 PLACE,FRESH POND ROAD,denied,2023-06-13,2023-06-26T13:33:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,10,10,2,0,40.708323,-73.901438,srts_citywide.csv
