Borough,Requests,Source Dataset
Queens,27113,Signal Studies [w76s-c5u4]
Brooklyn,21951,Signal Studies [w76s-c5u4]
Staten Island,9003,Signal Studies [w76s-c5u4]
Manhattan,8373,Signal Studies [w76s-c5u4]
Bronx,7754,Signal Studies [w76s-c5u4]
Unknown,290,Signal Studies [w76s-c5u4]
