Year,Speed < 30 mph,All Other Reasons,Total,Source Dataset
2020.0,26,11,37,Speed Reducer Tracking System [9n6h-pt9g]
2021.0,38,9,47,Speed Reducer Tracking System [9n6h-pt9g]
2022.0,53,10,63,Speed Reducer Tracking System [9n6h-pt9g]
2023.0,73,11,84,Speed Reducer Tracking System [9n6h-pt9g]
2024.0,91,20,111,Speed Reducer Tracking System [9n6h-pt9g]
2025.0,78,5,83,Speed Reducer Tracking System [9n6h-pt9g]
