Borough,Requests,Source Dataset
Queens,6731,Signal Studies [w76s-c5u4]
Brooklyn,5707,Signal Studies [w76s-c5u4]
Staten Island,2085,Signal Studies [w76s-c5u4]
Bronx,1976,Signal Studies [w76s-c5u4]
Manhattan,1957,Signal Studies [w76s-c5u4]
Unknown,29,Signal Studies [w76s-c5u4]
