projectcode,onstreet,fromstreet,tostreet,outcome,requestdate,closeddate,projectstatus,denialreason,installationdate,trafficdirectiondesc,crashes_150m,injuries_150m,ped_injuries_150m,fatalities_150m,latitude,longitude,Source File
SR-20210119-24318,MYRTLE AVENUE,83 STREET,84 STREET,approved,2020-07-27,2022-06-27T11:17:00.000,"Study Completed, Closed",,2022-06-13T00:00:00.000,Two-way,6,7,2,0,40.703182,-73.865639,srts_citywide.csv
SR-20230918-30597,74 STREET,JUNIPER VALLEY ROAD,66 DRIVE,approved,2023-09-17,,Accept planning proposal of Feasible,,,One-way,7,8,4,0,40.715245,-73.880206,srts_citywide.csv
SR-20240502-31623,74 STREET,PLEASANTVIEW STREET,PENELOPE AVENUE,approved,2024-05-01,,Accept planning proposal of Feasible,,,One-way,2,2,2,0,40.717917,-73.882355,srts_citywide.csv
SR-20221006-28863,CYPRESS HILLS STREET,80 AVENUE,CYPRESS AVENUE,approved,2022-10-05,,MOSAICS closed,,2025-07-18T00:00:00.000,Two-way,7,10,0,0,40.696669,-73.88681,srts_citywide.csv
SR-20221006-28863,CYPRESS HILLS STREET,78 AVENUE,80 AVENUE,approved,2022-10-05,,MOSAICS closed,,2025-07-18T00:00:00.000,Two-way,13,18,1,0,40.698015,-73.887882,srts_citywide.csv
SR-20251203-39806,WOODWARD AVENUE,68 ROAD,CATALPA AVENUE,approved,2025-12-03,,Planning proposal - Feasible,,,One-way,23,28,4,0,40.702664,-73.901897,srts_citywide.csv
