Reason,Count,Percent,Source Dataset
Speed < 30 mph,359,84.5,Speed Reducer Tracking System [9n6h-pt9g]
Other,19,4.5,Speed Reducer Tracking System [9n6h-pt9g]
Not Specified,17,4.0,Speed Reducer Tracking System [9n6h-pt9g]
Near Speed Camera,16,3.8,Speed Reducer Tracking System [9n6h-pt9g]
Street Too Short,11,2.6,Speed Reducer Tracking System [9n6h-pt9g]
Driveways,3,0.7,Speed Reducer Tracking System [9n6h-pt9g]
